SPY,SPY,SPY,SPY,SPY,SPY,SPY,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,TROW,TROW,TROW,TROW,TROW,TROW,TROW,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,VTI,VTI,VTI,VTI,VTI,VTI,VTI
open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
286.25,287.31,285.7135,286.27,67271983,243816,286.583994,286.25,287.31,285.7135,286.27,67271983,243816,286.583994,286.25,287.31,285.7135,286.27,67271983,243816,286.583994,286.25,287.31,285.7135,286.27,67271983,243816,286.583994,286.25,287.31,285.7135,286.27,67271983,243816,286.583994
285.88,286.76,285.575,286.21,44993333,190750,286.230403,285.88,286.76,285.575,286.21,44993333,190750,286.230403,285.88,286.76,285.575,286.21,44993333,190750,286.230403,285.88,286.76,285.575,286.21,44993333,190750,286.230403,285.88,286.76,285.575,286.21,44993333,190750,286.230403
285.97,286.94,285.43,285.79,49218851,196814,285.995389,285.97,286.94,285.43,285.79,49218851,196814,285.995389,285.97,286.94,285.43,285.79,49218851,196814,285.995389,285.97,286.94,285.43,285.79,49218851,196814,285.995389,285.97,286.94,285.43,285.79,49218851,196814,285.995389
286.44,287.67,286.38,287.52,57487399,219986,287.228614,286.44,287.67,286.38,287.52,57487399,219986,287.228614,286.44,287.67,286.38,287.52,57487399,219986,287.228614,286.44,287.67,286.38,287.52,57487399,219986,287.228614,286.44,287.67,286.38,287.52,57487399,219986,287.228614
288.86,289.9,288.68,289.73,57714809,213475,289.247433,288.86,289.9,288.68,289.73,57714809,213475,289.247433,288.86,289.9,288.68,289.73,57714809,213475,289.247433,288.86,289.9,288.68,289.73,57714809,213475,289.247433,288.86,289.9,288.68,289.73,57714809,213475,289.247433
290.3,290.4175,289.4,289.8395,47215226,174509,289.875195,290.3,290.4175,289.4,289.8395,47215226,174509,289.875195,290.3,290.4175,289.4,289.8395,47215226,174509,289.875195,290.3,290.4175,289.4,289.8395,47215226,174509,289.875195,290.3,290.4175,289.4,289.8395,47215226,174509,289.875195
290.16,291.74,289.8854,291.45,62288529,207173,291.051999,290.16,291.74,289.8854,291.45,62288529,207173,291.051999,290.16,291.74,289.8854,291.45,62288529,207173,291.051999,290.16,291.74,289.8854,291.45,62288529,207173,291.051999,290.16,291.74,289.8854,291.45,62288529,207173,291.051999
290.94,291.36,289.63,290.32,61744506,270414,290.639989,290.94,291.36,289.63,290.32,61744506,270414,290.639989,290.94,291.36,289.63,290.32,61744506,270414,290.639989,290.94,291.36,289.63,290.32,61744506,270414,290.639989,290.94,291.36,289.63,290.32,61744506,270414,290.639989
289.84,290.81,289.29,290.27,66796394,237749,290.087975,289.84,290.81,289.29,290.27,66796394,237749,290.087975,289.84,290.81,289.29,290.27,66796394,237749,290.087975,289.84,290.81,289.29,290.27,66796394,237749,290.087975,289.84,290.81,289.29,290.27,66796394,237749,290.087975
289.84,290.21,288.68,289.84,57816442,246057,289.555303,289.84,290.21,288.68,289.84,57816442,246057,289.555303,289.84,290.21,288.68,289.84,57816442,246057,289.555303,289.84,290.21,288.68,289.84,57816442,246057,289.555303,289.84,290.21,288.68,289.84,57816442,246057,289.555303
